Lat,Long,Data,Cliente,Fazenda,Talhão,Gleba,Cultura,Variedade,Data de plantio,Data de colheita,Acúmulo de chuva (mm),Média de produção Kg/Ha (Balança),Kg/Ha
-19.40343925,-47.39176234,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8786,10/10/2024,03/03/2025,870,3,3.8650582
-19.40004189,-47.38914289,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8787,10/10/2024,03/03/2025,870,3,3.865081
-19.39987882,-47.38780803,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8788,10/10/2024,03/03/2025,870,3,3.8653498
-19.40378772,-47.38586633,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8789,10/10/2024,03/03/2025,870,3,3.8653672
-19.39758268,-47.39072496,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8790,10/10/2024,03/03/2025,870,3,3.865461
-19.40405985,-47.38577512,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8791,10/10/2024,03/03/2025,870,3,3.8661234
-19.39776327,-47.3907276,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8792,10/10/2024,03/03/2025,870,3,3.8661938
-19.40302034,-47.38928157,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8793,10/10/2024,03/03/2025,870,3,3.8663025
-19.40318716,-47.39033098,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8794,10/10/2024,03/03/2025,870,3,3.8666098
-19.40395456,-47.38691574,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8795,10/10/2024,03/03/2025,870,3,3.8668125
-19.40187779,-47.38688543,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8796,10/10/2024,03/03/2025,870,3,3.8668392
-19.40188529,-47.38631447,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8797,10/10/2024,03/03/2025,870,3,3.8669252
-19.40375395,-47.38843568,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8798,10/10/2024,03/03/2025,870,3,3.8669517
-19.40261408,-47.39270206,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8799,10/10/2024,03/03/2025,870,3,3.8672874
-19.39914271,-47.38884423,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8800,10/10/2024,03/03/2025,870,3,3.8673189
-19.40372642,-47.39052922,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8801,10/10/2024,03/03/2025,870,3,3.8676815
-19.40376271,-47.38776955,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8802,10/10/2024,03/03/2025,870,3,3.8679345
-19.40334144,-47.39233199,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8803,10/10/2024,03/03/2025,870,3,3.867981
-19.3991967,-47.39160513,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8804,10/10/2024,03/03/2025,870,3,3.8681262
-19.39538306,-47.39316734,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8805,10/10/2024,03/03/2025,870,3,3.8681767
