Lat,Long,Data,Cliente,Fazenda,Talhão,Gleba,Cultura,Variedade,Data de plantio,Data de colheita,Acúmulo de chuva (mm),Média de produção Kg/Ha (Balança),Kg/Ha
-19.39974072,-47.38457,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_299,10/10/2024,03/03/2025,870,3,1.5456768
-19.39751366,-47.38910597,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_300,10/10/2024,03/03/2025,870,3,1.5467229
-19.39645431,-47.38607952,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_301,10/10/2024,03/03/2025,870,3,1.5478497
-19.40166593,-47.38926179,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_302,10/10/2024,03/03/2025,870,3,1.5490155
-19.40084953,-47.3895354,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_303,10/10/2024,03/03/2025,870,3,1.5527668
-19.39588705,-47.38600966,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_304,10/10/2024,03/03/2025,870,3,1.5540868
-19.39584874,-47.38609584,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_305,10/10/2024,03/03/2025,870,3,1.5548877
-19.40019594,-47.38429111,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_306,10/10/2024,03/03/2025,870,3,1.557092
-19.39814697,-47.38902004,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_307,10/10/2024,03/03/2025,870,3,1.5577197
-19.39834507,-47.38769047,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_308,10/10/2024,03/03/2025,870,3,1.5577214
